First Name,Last Name,SID,Email,Sections,HW1,HW1 - Max Points,HW1 - Submission Time,HW1 - Lateness (H:M:S),HW2,HW2 - Max Points,HW2 - Submission Time,HW2 - Lateness (H:M:S),HW3,HW3 - Max Points,HW3 - Submission Time,HW3 - Lateness (H:M:S),HW4,HW4 - Max Points,HW4 - Submission Time,HW4 - Lateness (H:M:S),HW5,HW5 - Max Points,HW5 - Submission Time,HW5 - Lateness (H:M:S),HW6,HW6 - Max Points,HW6 - Submission Time,HW6 - Lateness (H:M:S),HW7,HW7 - Max Points,HW7 - Submission Time,HW7 - Lateness (H:M:S),HW8,HW8 - Max Points,HW8 - Submission Time,HW8 - Lateness (H:M:S),Quiz1,Quiz1 - Max Points,Quiz1 - Submission Time,Quiz1 - Lateness (H:M:S),Quiz2,Quiz2 - Max Points,Quiz2 - Submission Time,Quiz2 - Lateness (H:M:S),Quiz3,Quiz3 - Max Points,Quiz3 - Submission Time,Quiz3 - Lateness (H:M:S),Quiz4,Quiz4 - Max Points,Quiz4 - Submission Time,Quiz4 - Lateness (H:M:S),Exam1,Exam1 - Max Points,Exam1 - Submission Time,Exam1 - Lateness (H:M:S),Exam2a,Exam2a - Max Points,Exam2a - Submission Time,Exam2a - Lateness (H:M:S),Exam2b,Exam2b - Max Points,Exam2b - Submission Time,Exam2b - Lateness (H:M:S)
Liam,Ibrahim,900239227S,liam.ibrahim@uni.edu,CS 2810 Section 02,7.5,10,2026-04-21 23:14:07 -0400,00:00:00,8.3,10,2026-04-21 23:14:07 -0400,00:00:00,6.7,10,2026-04-21 23:14:07 -0400,00:00:00,7.6,10,2026-04-21 23:14:07 -0400,00:00:00,8.6,10,2026-04-21 23:14:07 -0400,00:00:00,7.5,10,2026-04-21 23:14:07 -0400,00:00:00,8.9,10,2026-04-21 23:14:07 -0400,00:00:00,7.8,10,2026-04-21 23:14:07 -0400,00:00:00,15.6,20,2026-04-21 23:14:07 -0400,00:00:00,17.8,20,2026-04-21 23:14:07 -0400,00:00:00,16,20,2026-04-21 23:14:07 -0400,00:00:00,13.8,20,2026-04-21 23:14:07 -0400,00:00:00,56,100,2026-04-21 23:14:07 -0400,00:00:00,59.1,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Priya,Patel,900246944S,priya.patel@uni.edu,CS 2810 Section 01,8,10,2026-04-21 23:14:07 -0400,24:00:00,8,10,2026-04-21 23:14:07 -0400,00:00:00,7.7,10,2026-04-21 23:14:07 -0400,23:00:00,7.9,10,2026-04-21 23:14:07 -0400,00:00:00,7.1,10,2026-04-21 23:14:07 -0400,00:00:00,7.2,10,2026-04-21 23:14:07 -0400,00:00:00,8.4,10,2026-04-21 23:14:07 -0400,00:00:00,8.5,10,2026-04-21 23:14:07 -0400,00:00:00,15.8,20,2026-04-21 23:14:07 -0400,00:00:00,16.8,20,2026-04-21 23:14:07 -0400,00:00:00,14.5,20,2026-04-21 23:14:07 -0400,23:00:00,15.8,20,2026-04-21 23:14:07 -0400,00:00:00,86.5,100,2026-04-21 23:14:07 -0400,00:00:00,86.6,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Wren,Weber,900254661S,wren.weber@uni.edu,CS 2810 Section 02,9.4,10,2026-04-21 23:14:07 -0400,00:00:00,8.9,10,2026-04-21 23:14:07 -0400,00:00:00,9.9,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,9.4,10,2026-04-21 23:14:07 -0400,00:00:00,9.9,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,9.4,10,2026-04-21 23:14:07 -0400,00:00:00,19.1,20,2026-04-21 23:14:07 -0400,00:00:00,16.4,20,2026-04-21 23:14:07 -0400,00:00:00,16.1,20,2026-04-21 23:14:07 -0400,00:00:00,18.2,20,2026-04-21 23:14:07 -0400,00:00:00,100,100,2026-04-21 23:14:07 -0400,00:00:00,94.7,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Tess,Foster,900262378S,tess.foster@uni.edu,CS 2810 Section 01,6.1,10,2026-04-21 23:14:07 -0400,00:00:00,6.4,10,2026-04-21 23:14:07 -0400,00:00:00,7,10,2026-04-21 23:14:07 -0400,00:00:00,7.5,10,2026-04-21 23:14:07 -0400,00:00:00,7.7,10,2026-04-21 23:14:07 -0400,00:00:00,7.3,10,2026-04-21 23:14:07 -0400,00:00:00,6.8,10,2026-04-21 23:14:07 -0400,00:00:00,5.5,10,2026-04-21 23:14:07 -0400,00:00:00,13.3,20,2026-04-21 23:14:07 -0400,00:00:00,14.9,20,2026-04-21 23:14:07 -0400,00:00:00,14.2,20,2026-04-21 23:14:07 -0400,00:00:00,15.5,20,2026-04-21 23:14:07 -0400,00:00:00,64.3,100,2026-04-21 23:14:07 -0400,00:00:00,71.8,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Elena,Silva,900270095S,elena.silva@uni.edu,CS 2810 Section 02,9.1,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,9.4,10,2026-04-21 23:14:07 -0400,00:00:00,9.9,10,2026-04-21 23:14:07 -0400,00:00:00,9.2,10,2026-04-21 23:14:07 -0400,00:00:00,9.5,10,2026-04-21 23:14:07 -0400,00:00:00,9.9,10,2026-04-21 23:14:07 -0400,00:00:00,9.5,10,2026-04-21 23:14:07 -0400,00:00:00,19.6,20,2026-04-21 23:14:07 -0400,00:00:00,17.2,20,2026-04-21 23:14:07 -0400,00:00:00,16.6,20,2026-04-21 23:14:07 -0400,00:00:00,16.2,20,2026-04-21 23:14:07 -0400,00:00:00,78.4,100,2026-04-21 23:14:07 -0400,00:00:00,82.5,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Dev,Lopez,900277812S,dev.lopez@uni.edu,CS 2810 Section 01,8.4,10,2026-04-21 23:14:07 -0400,00:00:00,8.8,10,2026-04-21 23:14:07 -0400,00:00:00,7.2,10,2026-04-21 23:14:07 -0400,00:00:00,9,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,9.2,10,2026-04-21 23:14:07 -0400,00:00:00,8.3,10,2026-04-21 23:14:07 -0400,00:00:00,8,10,2026-04-21 23:14:07 -0400,00:00:00,17.3,20,2026-04-21 23:14:07 -0400,00:00:00,18,20,2026-04-21 23:14:07 -0400,00:00:00,17.5,20,2026-04-21 23:14:07 -0400,00:00:00,18.2,20,2026-04-21 23:14:07 -0400,00:00:00,72.5,100,2026-04-21 23:14:07 -0400,00:00:00,77,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Liam,Weber,900285529S,liam.weber@uni.edu,CS 2810 Section 02,8.5,10,2026-04-21 23:14:07 -0400,00:00:00,8.8,10,2026-04-21 23:14:07 -0400,00:00:00,8.8,10,2026-04-21 23:14:07 -0400,00:00:00,9.1,10,2026-04-21 23:14:07 -0400,00:00:00,7.5,10,2026-04-21 23:14:07 -0400,00:00:00,8.6,10,2026-04-21 23:14:07 -0400,00:00:00,9.3,10,2026-04-21 23:14:07 -0400,00:00:00,8.6,10,2026-04-21 23:14:07 -0400,00:00:00,15.8,20,2026-04-21 23:14:07 -0400,00:00:00,13.5,20,2026-04-21 23:14:07 -0400,00:00:00,16.6,20,2026-04-21 23:14:07 -0400,00:00:00,13.6,20,2026-04-21 23:14:07 -0400,00:00:00,97.5,100,2026-04-21 23:14:07 -0400,00:00:00,100,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Tess,O'Brien,900293246S,tess.obrien@uni.edu,CS 2810 Section 01,6.9,10,2026-04-21 23:14:07 -0400,00:00:00,6.7,10,2026-04-21 23:14:07 -0400,00:00:00,6.4,10,2026-04-21 23:14:07 -0400,24:00:00,5.4,10,2026-04-21 23:14:07 -0400,00:00:00,6.9,10,2026-04-21 23:14:07 -0400,00:00:00,7.5,10,2026-04-21 23:14:07 -0400,24:00:00,6,10,2026-04-21 23:14:07 -0400,00:00:00,6.9,10,2026-04-21 23:14:07 -0400,00:00:00,16.6,20,2026-04-21 23:14:07 -0400,00:00:00,16,20,2026-04-21 23:14:07 -0400,00:00:00,15.6,20,2026-04-21 23:14:07 -0400,00:00:00,16.4,20,2026-04-21 23:14:07 -0400,00:00:00,62.1,100,2026-04-21 23:14:07 -0400,00:00:00,59.9,100,2026-04-21 23:14:07 -0400,24:00:00,,100,,
Vik,Weber,900300963S,vik.weber@uni.edu,CS 2810 Section 02,9.5,10,2026-04-21 23:14:07 -0400,00:00:00,8.8,10,2026-04-21 23:14:07 -0400,00:00:00,9.6,10,2026-04-21 23:14:07 -0400,00:00:00,9.7,10,2026-04-21 23:14:07 -0400,00:00:00,8.8,10,2026-04-21 23:14:07 -0400,00:00:00,8.5,10,2026-04-21 23:14:07 -0400,00:00:00,7,10,2026-04-21 23:14:07 -0400,00:00:00,8,10,2026-04-21 23:14:07 -0400,00:00:00,15.3,20,2026-04-21 23:14:07 -0400,00:00:00,14,20,2026-04-21 23:14:07 -0400,00:00:00,13.6,20,2026-04-21 23:14:07 -0400,00:00:00,15.4,20,2026-04-21 23:14:07 -0400,00:00:00,72.9,100,2026-04-21 23:14:07 -0400,00:00:00,82,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Uma,Young,900308680S,uma.young@uni.edu,CS 2810 Section 01,9.7,10,2026-04-21 23:14:07 -0400,00:00:00,9.7,10,2026-04-21 23:14:07 -0400,00:00:00,9.1,10,2026-04-21 23:14:07 -0400,00:00:00,9.9,10,2026-04-21 23:14:07 -0400,00:00:00,8.1,10,2026-04-21 23:14:07 -0400,00:00:00,9.2,10,2026-04-21 23:14:07 -0400,00:00:00,8.3,10,2026-04-21 23:14:07 -0400,00:00:00,9.6,10,2026-04-21 23:14:07 -0400,00:00:00,20,20,2026-04-21 23:14:07 -0400,00:00:00,20,20,2026-04-21 23:14:07 -0400,00:00:00,16.9,20,2026-04-21 23:14:07 -0400,00:00:00,16.8,20,2026-04-21 23:14:07 -0400,00:00:00,97.7,100,2026-04-21 23:14:07 -0400,00:00:00,100,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Ava,Xu,900316397S,ava.xu@uni.edu,CS 2810 Section 02,8.4,10,2026-04-21 23:14:07 -0400,00:00:00,9.6,10,2026-04-21 23:14:07 -0400,00:00:00,9.9,10,2026-04-21 23:14:07 -0400,00:00:00,9.6,10,2026-04-21 23:14:07 -0400,00:00:00,9.2,10,2026-04-21 23:14:07 -0400,00:00:00,8.6,10,2026-04-21 23:14:07 -0400,00:00:00,9.9,10,2026-04-21 23:14:07 -0400,00:00:00,9.2,10,2026-04-21 23:14:07 -0400,00:00:00,20,20,2026-04-21 23:14:07 -0400,00:00:00,20,20,2026-04-21 23:14:07 -0400,00:00:00,20,20,2026-04-21 23:14:07 -0400,00:00:00,20,20,2026-04-21 23:14:07 -0400,00:00:00,100,100,2026-04-21 23:14:07 -0400,00:00:00,95.5,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Wren,Abbott,900324114S,wren.abbott@uni.edu,CS 2810 Section 01,10,10,2026-04-21 23:14:07 -0400,00:00:00,9.7,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,9,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,,10,,,18.9,20,2026-04-21 23:14:07 -0400,00:00:00,19.8,20,2026-04-21 23:14:07 -0400,00:00:00,19,20,2026-04-21 23:14:07 -0400,00:00:00,18.3,20,2026-04-21 23:14:07 -0400,00:00:00,100,100,2026-04-21 23:14:07 -0400,00:00:00,93,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Cora,Kaur,900331831S,cora.kaur@uni.edu,CS 2810 Section 02,10,10,2026-04-21 23:14:07 -0400,00:00:00,9.8,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,9.2,10,2026-04-21 23:14:07 -0400,00:00:00,9.6,10,2026-04-21 23:14:07 -0400,00:00:00,20,20,2026-04-21 23:14:07 -0400,00:00:00,19.7,20,2026-04-21 23:14:07 -0400,00:00:00,19.6,20,2026-04-21 23:14:07 -0400,00:00:00,18.7,20,2026-04-21 23:14:07 -0400,00:00:00,94.9,100,2026-04-21 23:14:07 -0400,24:00:00,91.3,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Zane,Lopez,900339548S,zane.lopez@uni.edu,CS 2810 Section 01,10,10,2026-04-21 23:14:07 -0400,00:00:00,9.6,10,2026-04-21 23:14:07 -0400,00:00:00,,10,,,9.2,10,2026-04-21 23:14:07 -0400,00:00:00,8.9,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,9.9,10,2026-04-21 23:14:07 -0400,00:00:00,9.8,10,2026-04-21 23:14:07 -0400,00:00:00,20,20,2026-04-21 23:14:07 -0400,00:00:00,20,20,2026-04-21 23:14:07 -0400,00:00:00,20,20,2026-04-21 23:14:07 -0400,00:00:00,19.9,20,2026-04-21 23:14:07 -0400,00:00:00,100,100,2026-04-21 23:14:07 -0400,00:00:00,97.4,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Omar,Cruz,900347265S,omar.cruz@uni.edu,CS 2810 Section 02,9.2,10,2026-04-21 23:14:07 -0400,00:00:00,9.8,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,8.7,10,2026-04-21 23:14:07 -0400,00:00:00,8.6,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,9.4,10,2026-04-21 23:14:07 -0400,00:00:00,9.3,10,2026-04-21 23:14:07 -0400,00:00:00,20,20,2026-04-21 23:14:07 -0400,00:00:00,20,20,2026-04-21 23:14:07 -0400,00:00:00,18,20,2026-04-21 23:14:07 -0400,00:00:00,20,20,2026-04-21 23:14:07 -0400,00:00:00,100,100,2026-04-21 23:14:07 -0400,00:00:00,98.5,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Iris,Kaur,900354982S,iris.kaur@uni.edu,CS 2810 Section 01,8.6,10,2026-04-21 23:14:07 -0400,00:00:00,8.2,10,2026-04-21 23:14:07 -0400,00:00:00,8.2,10,2026-04-21 23:14:07 -0400,00:00:00,8.7,10,2026-04-21 23:14:07 -0400,24:00:00,8.1,10,2026-04-21 23:14:07 -0400,00:00:00,7.9,10,2026-04-21 23:14:07 -0400,24:00:00,8.3,10,2026-04-21 23:14:07 -0400,00:00:00,8.6,10,2026-04-21 23:14:07 -0400,24:00:00,17.5,20,2026-04-21 23:14:07 -0400,00:00:00,18.3,20,2026-04-21 23:14:07 -0400,00:00:00,15.9,20,2026-04-21 23:14:07 -0400,00:00:00,16.7,20,2026-04-21 23:14:07 -0400,00:00:00,100,100,2026-04-21 23:14:07 -0400,00:00:00,72.5,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Quinn,Ueda,900362699S,quinn.ueda@uni.edu,CS 2810 Section 02,9,10,2026-04-21 23:14:07 -0400,00:00:00,9.8,10,2026-04-21 23:14:07 -0400,00:00:00,9.8,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,8.9,10,2026-04-21 23:14:07 -0400,00:00:00,9.7,10,2026-04-21 23:14:07 -0400,00:00:00,9,10,2026-04-21 23:14:07 -0400,00:00:00,9.8,10,2026-04-21 23:14:07 -0400,00:00:00,18.5,20,2026-04-21 23:14:07 -0400,00:00:00,20,20,2026-04-21 23:14:07 -0400,00:00:00,20,20,2026-04-21 23:14:07 -0400,00:00:00,20,20,2026-04-21 23:14:07 -0400,00:00:00,91,100,2026-04-21 23:14:07 -0400,00:00:00,93.5,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Quinn,Moreau,900370416S,quinn.moreau@uni.edu,CS 2810 Section 01,9.8,10,2026-04-21 23:14:07 -0400,00:00:00,9,10,2026-04-21 23:14:07 -0400,00:00:00,8,10,2026-04-21 23:14:07 -0400,00:00:00,8.9,10,2026-04-21 23:14:07 -0400,00:00:00,8.8,10,2026-04-21 23:14:07 -0400,00:00:00,8.1,10,2026-04-21 23:14:07 -0400,00:00:00,8.6,10,2026-04-21 23:14:07 -0400,00:00:00,9.1,10,2026-04-21 23:14:07 -0400,00:00:00,19.8,20,2026-04-21 23:14:07 -0400,00:00:00,19,20,2026-04-21 23:14:07 -0400,00:00:00,18,20,2026-04-21 23:14:07 -0400,00:00:00,17.6,20,2026-04-21 23:14:07 -0400,00:00:00,79.7,100,2026-04-21 23:14:07 -0400,00:00:00,100,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Kira,Cruz,900378133S,kira.cruz@uni.edu,CS 2810 Section 02,10,10,2026-04-21 23:14:07 -0400,00:00:00,8.4,10,2026-04-21 23:14:07 -0400,00:00:00,9,10,2026-04-21 23:14:07 -0400,00:00:00,9.2,10,2026-04-21 23:14:07 -0400,00:00:00,8.3,10,2026-04-21 23:14:07 -0400,00:00:00,7.5,10,2026-04-21 23:14:07 -0400,00:00:00,8.9,10,2026-04-21 23:14:07 -0400,00:00:00,8.4,10,2026-04-21 23:14:07 -0400,00:00:00,16.9,20,2026-04-21 23:14:07 -0400,00:00:00,19.5,20,2026-04-21 23:14:07 -0400,00:00:00,18.1,20,2026-04-21 23:14:07 -0400,00:00:00,17.7,20,2026-04-21 23:14:07 -0400,00:00:00,73.5,100,2026-04-21 23:14:07 -0400,00:00:00,85.2,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Zane,Nakamura,900385850S,zane.nakamura@uni.edu,CS 2810 Section 01,9.6,10,2026-04-21 23:14:07 -0400,00:00:00,9.4,10,2026-04-21 23:14:07 -0400,00:00:00,9.1,10,2026-04-21 23:14:07 -0400,00:00:00,9.7,10,2026-04-21 23:14:07 -0400,00:00:00,9.9,10,2026-04-21 23:14:07 -0400,00:00:00,9.1,10,2026-04-21 23:14:07 -0400,00:00:00,8.7,10,2026-04-21 23:14:07 -0400,00:00:00,8.8,10,2026-04-21 23:14:07 -0400,00:00:00,18.3,20,2026-04-21 23:14:07 -0400,00:00:00,19.1,20,2026-04-21 23:14:07 -0400,00:00:00,19,20,2026-04-21 23:14:07 -0400,00:00:00,18.4,20,2026-04-21 23:14:07 -0400,00:00:00,79.5,100,2026-04-21 23:14:07 -0400,00:00:00,76.2,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Sam,Hayes,900393567S,sam.hayes@uni.edu,CS 2810 Section 02,7,10,2026-04-21 23:14:07 -0400,00:00:00,6.6,10,2026-04-21 23:14:07 -0400,00:00:00,6.8,10,2026-04-21 23:14:07 -0400,00:00:00,6.2,10,2026-04-21 23:14:07 -0400,00:00:00,7.1,10,2026-04-21 23:14:07 -0400,00:00:00,6.9,10,2026-04-21 23:14:07 -0400,00:00:00,6.6,10,2026-04-21 23:14:07 -0400,00:00:00,7.6,10,2026-04-21 23:14:07 -0400,00:00:00,12,20,2026-04-21 23:14:07 -0400,00:00:00,11.8,20,2026-04-21 23:14:07 -0400,00:00:00,13.2,20,2026-04-21 23:14:07 -0400,00:00:00,13.4,20,2026-04-21 23:14:07 -0400,00:00:00,66.1,100,2026-04-21 23:14:07 -0400,00:00:00,59.4,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Grace,Lopez,900401284S,grace.lopez@uni.edu,CS 2810 Section 01,8,10,2026-04-21 23:14:07 -0400,00:00:00,5.9,10,2026-04-21 23:14:07 -0400,00:00:00,7,10,2026-04-21 23:14:07 -0400,00:00:00,5.8,10,2026-04-21 23:14:07 -0400,00:00:00,7,10,2026-04-21 23:14:07 -0400,00:00:00,6.9,10,2026-04-21 23:14:07 -0400,00:00:00,7.6,10,2026-04-21 23:14:07 -0400,00:00:00,6.2,10,2026-04-21 23:14:07 -0400,00:00:00,11.6,20,2026-04-21 23:14:07 -0400,00:00:00,12.2,20,2026-04-21 23:14:07 -0400,00:00:00,12.7,20,2026-04-21 23:14:07 -0400,00:00:00,12.6,20,2026-04-21 23:14:07 -0400,00:00:00,56.3,100,2026-04-21 23:14:07 -0400,00:00:00,59.5,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Kira,Vargas,900409001S,kira.vargas@uni.edu,CS 2810 Section 02,9.2,10,2026-04-21 23:14:07 -0400,00:00:00,7.9,10,2026-04-21 23:14:07 -0400,00:00:00,7.6,10,2026-04-21 23:14:07 -0400,00:00:00,8.6,10,2026-04-21 23:14:07 -0400,00:00:00,8.4,10,2026-04-21 23:14:07 -0400,00:00:00,9,10,2026-04-21 23:14:07 -0400,00:00:00,7.1,10,2026-04-21 23:14:07 -0400,00:00:00,8.9,10,2026-04-21 23:14:07 -0400,00:00:00,16.4,20,2026-04-21 23:14:07 -0400,00:00:00,15.4,20,2026-04-21 23:14:07 -0400,00:00:00,16.8,20,2026-04-21 23:14:07 -0400,00:00:00,17.1,20,2026-04-21 23:14:07 -0400,00:00:00,90.5,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,,78.5,100,2026-04-21 23:14:07 -0400,00:00:00
Dev,Young,900416718S,dev.young@uni.edu,CS 2810 Section 01,9.2,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,8.5,10,2026-04-21 23:14:07 -0400,00:00:00,8.9,10,2026-04-21 23:14:07 -0400,00:00:00,9.1,10,2026-04-21 23:14:07 -0400,00:00:00,8.1,10,2026-04-21 23:14:07 -0400,00:00:00,7.9,10,2026-04-21 23:14:07 -0400,00:00:00,8.9,10,2026-04-21 23:14:07 -0400,00:00:00,18.3,20,2026-04-21 23:14:07 -0400,00:00:00,20,20,2026-04-21 23:14:07 -0400,00:00:00,19.2,20,2026-04-21 23:14:07 -0400,00:00:00,20,20,2026-04-21 23:14:07 -0400,00:00:00,89.4,100,2026-04-21 23:14:07 -0400,00:00:00,88.9,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Grace,Jensen,900424435S,grace.jensen@uni.edu,CS 2810 Section 02,6.2,10,2026-04-21 23:14:07 -0400,00:00:00,6.6,10,2026-04-21 23:14:07 -0400,00:00:00,5.7,10,2026-04-21 23:14:07 -0400,00:00:00,6.7,10,2026-04-21 23:14:07 -0400,00:00:00,6.4,10,2026-04-21 23:14:07 -0400,00:00:00,7.4,10,2026-04-21 23:14:07 -0400,00:00:00,6.3,10,2026-04-21 23:14:07 -0400,00:00:00,6.6,10,2026-04-21 23:14:07 -0400,00:00:00,13.7,20,2026-04-21 23:14:07 -0400,00:00:00,11.3,20,2026-04-21 23:14:07 -0400,00:00:00,9.7,20,2026-04-21 23:14:07 -0400,00:00:00,12.3,20,2026-04-21 23:14:07 -0400,00:00:00,59,100,2026-04-21 23:14:07 -0400,00:00:00,69.4,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Xime,Abbott,900432152S,xime.abbott@uni.edu,CS 2810 Section 01,7.2,10,2026-04-21 23:14:07 -0400,00:00:00,8,10,2026-04-21 23:14:07 -0400,00:00:00,6.5,10,2026-04-21 23:14:07 -0400,00:00:00,7.2,10,2026-04-21 23:14:07 -0400,00:00:00,7.9,10,2026-04-21 23:14:07 -0400,00:00:00,7.9,10,2026-04-21 23:14:07 -0400,00:00:00,7.2,10,2026-04-21 23:14:07 -0400,00:00:00,6.1,10,2026-04-21 23:14:07 -0400,00:00:00,13.3,20,2026-04-21 23:14:07 -0400,00:00:00,12.8,20,2026-04-21 23:14:07 -0400,00:00:00,10,20,2026-04-21 23:14:07 -0400,00:00:00,13.2,20,2026-04-21 23:14:07 -0400,00:00:00,65.4,100,2026-04-21 23:14:07 -0400,00:00:00,67.7,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Kira,O'Brien,900439869S,kira.obrien@uni.edu,CS 2810 Section 02,9.1,10,2026-04-21 23:14:07 -0400,00:00:00,8.2,10,2026-04-21 23:14:07 -0400,00:00:00,8.6,10,2026-04-21 23:14:07 -0400,00:00:00,9,10,2026-04-21 23:14:07 -0400,00:00:00,9.7,10,2026-04-21 23:14:07 -0400,00:00:00,8.5,10,2026-04-21 23:14:07 -0400,00:00:00,9.4,10,2026-04-21 23:14:07 -0400,00:00:00,9.5,10,2026-04-21 23:14:07 -0400,00:00:00,19.6,20,2026-04-21 23:14:07 -0400,00:00:00,17.8,20,2026-04-21 23:14:07 -0400,00:00:00,18,20,2026-04-21 23:14:07 -0400,00:00:00,20,20,2026-04-21 23:14:07 -0400,00:00:00,86,100,2026-04-21 23:14:07 -0400,00:00:00,91,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Ben,Ueda,900447586S,ben.ueda@uni.edu,CS 2810 Section 01,9.7,10,2026-04-21 23:14:07 -0400,21:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,9.3,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,9.2,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,8.9,10,2026-04-21 23:14:07 -0400,00:00:00,8.6,10,2026-04-21 23:14:07 -0400,00:00:00,20,20,2026-04-21 23:14:07 -0400,00:00:00,20,20,2026-04-21 23:14:07 -0400,00:00:00,18.9,20,2026-04-21 23:14:07 -0400,00:00:00,19,20,2026-04-21 23:14:07 -0400,00:00:00,100,100,2026-04-21 23:14:07 -0400,00:00:00,91.1,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Kira,Evans,900455303S,kira.evans@uni.edu,CS 2810 Section 02,8.8,10,2026-04-21 23:14:07 -0400,00:00:00,9.1,10,2026-04-21 23:14:07 -0400,00:00:00,9.8,10,2026-04-21 23:14:07 -0400,00:00:00,9.1,10,2026-04-21 23:14:07 -0400,00:00:00,8.3,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,8.9,10,2026-04-21 23:14:07 -0400,00:00:00,9,10,2026-04-21 23:14:07 -0400,00:00:00,18,20,2026-04-21 23:14:07 -0400,00:00:00,15,20,2026-04-21 23:14:07 -0400,00:00:00,14,20,2026-04-21 23:14:07 -0400,00:00:00,14.8,20,2026-04-21 23:14:07 -0400,00:00:00,85.1,100,2026-04-21 23:14:07 -0400,00:00:00,93.7,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Grace,Vargas,900463020S,grace.vargas@uni.edu,CS 2810 Section 01,8.7,10,2026-04-21 23:14:07 -0400,00:00:00,8.6,10,2026-04-21 23:14:07 -0400,00:00:00,7.4,10,2026-04-21 23:14:07 -0400,00:00:00,7.6,10,2026-04-21 23:14:07 -0400,00:00:00,8.2,10,2026-04-21 23:14:07 -0400,00:00:00,9,10,2026-04-21 23:14:07 -0400,00:00:00,8.4,10,2026-04-21 23:14:07 -0400,00:00:00,7.9,10,2026-04-21 23:14:07 -0400,00:00:00,19.2,20,2026-04-21 23:14:07 -0400,00:00:00,19.5,20,2026-04-21 23:14:07 -0400,00:00:00,17,20,2026-04-21 23:14:07 -0400,00:00:00,17.2,20,2026-04-21 23:14:07 -0400,00:00:00,94.1,100,2026-04-21 23:14:07 -0400,00:00:00,100,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
